Variable,Year,Value,RSE,State,Industry
Lambs at 30 June (no.),2014,573,11,Tasmania,All Broadacre
Sheep flock at 30 June (no.),2014,2067,11,Tasmania,All Broadacre
Beef bulls at 30 June (no.),2014,11,25,Tasmania,Beef
Beef calves at 30 June (no.),2014,152,16,Tasmania,Beef
Beef cows at 30 June (no.),2014,184,15,Tasmania,Beef
Dairy cattle at June 30 (no.),2014,0,,Tasmania,Beef
Lambs at 30 June (no.),2014,74,52,Tasmania,Beef
Sheep flock at 30 June (no.),2014,234,55,Tasmania,Beef
Beef bulls at 30 June (no.),2014,3,37,Tasmania,Cropping
Beef calves at 30 June (no.),2014,3,55,Tasmania,Cropping
Beef cows at 30 June (no.),2014,86,35,Tasmania,Cropping
Dairy cattle at June 30 (no.),2014,0,,Tasmania,Cropping
Lambs at 30 June (no.),2014,1755,29,Tasmania,Cropping
Sheep flock at 30 June (no.),2014,7348,28,Tasmania,Cropping
Dairy cattle at June 30 (no.),2014,540,6,Tasmania,Dairy
Dairy cows at 30 June (no.),2014,339,6,Tasmania,Dairy
Beef bulls at 30 June (no.),2014,1,32,Tasmania,Mixed
Beef calves at 30 June (no.),2014,10,43,Tasmania,Mixed
Beef cows at 30 June (no.),2014,20,28,Tasmania,Mixed
Dairy cattle at June 30 (no.),2014,0,,Tasmania,Mixed
Lambs at 30 June (no.),2014,1550,13,Tasmania,Mixed
Sheep flock at 30 June (no.),2014,6615,8,Tasmania,Mixed
Beef bulls at 30 June (no.),2014,3,29,Tasmania,Sheep
Beef calves at 30 June (no.),2014,35,29,Tasmania,Sheep
Beef cows at 30 June (no.),2014,63,19,Tasmania,Sheep
Dairy cattle at June 30 (no.),2014,0,,Tasmania,Sheep
Lambs at 30 June (no.),2014,1103,9,Tasmania,Sheep
Sheep flock at 30 June (no.),2014,3941,8,Tasmania,Sheep
Beef bulls at 30 June (no.),2014,7,28,Tasmania,Sheep-Beef
Beef calves at 30 June (no.),2014,77,21,Tasmania,Sheep-Beef
Beef cows at 30 June (no.),2014,106,23,Tasmania,Sheep-Beef
Dairy cattle at June 30 (no.),2014,0,,Tasmania,Sheep-Beef
Lambs at 30 June (no.),2014,561,19,Tasmania,Sheep-Beef
Sheep flock at 30 June (no.),2014,2045,22,Tasmania,Sheep-Beef
Beef bulls at 30 June (no.),2014,4,17,Victoria,All Broadacre
Beef calves at 30 June (no.),2014,46,11,Victoria,All Broadacre
Beef cows at 30 June (no.),2014,58,11,Victoria,All Broadacre
Dairy cattle at June 30 (no.),2014,0,,Victoria,All Broadacre
Lambs at 30 June (no.),2014,324,12,Victoria,All Broadacre
Sheep flock at 30 June (no.),2014,1074,12,Victoria,All Broadacre
Beef bulls at 30 June (no.),2014,8,27,Victoria,Beef
Beef calves at 30 June (no.),2014,98,10,Victoria,Beef
Beef cows at 30 June (no.),2014,122,13,Victoria,Beef
Dairy cattle at June 30 (no.),2014,0,,Victoria,Beef
Lambs at 30 June (no.),2014,4,355,Victoria,Beef
Sheep flock at 30 June (no.),2014,41,121,Victoria,Beef
Beef bulls at 30 June (no.),2014,1,409,Victoria,Cropping
Beef calves at 30 June (no.),2014,4,57,Victoria,Cropping
Beef cows at 30 June (no.),2014,5,78,Victoria,Cropping
Dairy cattle at June 30 (no.),2014,0,,Victoria,Cropping
Lambs at 30 June (no.),2014,184,20,Victoria,Cropping
Sheep flock at 30 June (no.),2014,475,23,Victoria,Cropping
Dairy cattle at June 30 (no.),2014,383,10,Victoria,Dairy
Dairy cows at 30 June (no.),2014,238,9,Victoria,Dairy
Beef bulls at 30 June (no.),2014,0,38,Victoria,Mixed
Beef calves at 30 June (no.),2014,3,73,Victoria,Mixed
Beef cows at 30 June (no.),2014,10,30,Victoria,Mixed
Dairy cattle at June 30 (no.),2014,0,,Victoria,Mixed
Lambs at 30 June (no.),2014,502,16,Victoria,Mixed
Sheep flock at 30 June (no.),2014,1484,15,Victoria,Mixed
Beef bulls at 30 June (no.),2014,1,53,Victoria,Sheep
Beef calves at 30 June (no.),2014,11,41,Victoria,Sheep
Beef cows at 30 June (no.),2014,16,42,Victoria,Sheep
Dairy cattle at June 30 (no.),2014,0,,Victoria,Sheep
Lambs at 30 June (no.),2014,748,17,Victoria,Sheep
Sheep flock at 30 June (no.),2014,2692,10,Victoria,Sheep
Beef bulls at 30 June (no.),2014,7,15,Victoria,Sheep-Beef
Beef calves at 30 June (no.),2014,108,17,Victoria,Sheep-Beef
Beef cows at 30 June (no.),2014,120,17,Victoria,Sheep-Beef
Dairy cattle at June 30 (no.),2014,0,,Victoria,Sheep-Beef
Lambs at 30 June (no.),2014,454,17,Victoria,Sheep-Beef
Sheep flock at 30 June (no.),2014,1692,22,Victoria,Sheep-Beef
Beef bulls at 30 June (no.),2014,7,24,Western Australia,All Broadacre
Beef calves at 30 June (no.),2014,64,18,Western Australia,All Broadacre
Beef cows at 30 June (no.),2014,131,20,Western Australia,All Broadacre
Dairy cattle at June 30 (no.),2014,0,,Western Australia,All Broadacre
Lambs at 30 June (no.),2014,611,11,Western Australia,All Broadacre
Sheep flock at 30 June (no.),2014,2187,9,Western Australia,All Broadacre
Beef bulls at 30 June (no.),2014,35,26,Western Australia,Beef
Beef calves at 30 June (no.),2014,309,21,Western Australia,Beef
Beef cows at 30 June (no.),2014,636,23,Western Australia,Beef
Dairy cattle at June 30 (no.),2014,0,,Western Australia,Beef
Lambs at 30 June (no.),2014,22,153,Western Australia,Beef
Sheep flock at 30 June (no.),2014,75,146,Western Australia,Beef
Beef bulls at 30 June (no.),2014,0,57,Western Australia,Cropping
Beef calves at 30 June (no.),2014,6,62,Western Australia,Cropping
Beef cows at 30 June (no.),2014,16,50,Western Australia,Cropping
Dairy cattle at June 30 (no.),2014,0,,Western Australia,Cropping
Lambs at 30 June (no.),2014,566,19,Western Australia,Cropping
Sheep flock at 30 June (no.),2014,2059,19,Western Australia,Cropping
Dairy cattle at June 30 (no.),2014,627,7,Western Australia,Dairy
Dairy cows at 30 June (no.),2014,330,6,Western Australia,Dairy
Beef bulls at 30 June (no.),2014,0,86,Western Australia,Mixed
Beef calves at 30 June (no.),2014,2,78,Western Australia,Mixed
Beef cows at 30 June (no.),2014,3,67,Western Australia,Mixed
Dairy cattle at June 30 (no.),2014,0,,Western Australia,Mixed
Lambs at 30 June (no.),2014,961,17,Western Australia,Mixed
Sheep flock at 30 June (no.),2014,3129,12,Western Australia,Mixed
Beef bulls at 30 June (no.),2014,0,62,Western Australia,Sheep
Beef calves at 30 June (no.),2014,6,87,Western Australia,Sheep
Beef cows at 30 June (no.),2014,8,76,Western Australia,Sheep
Dairy cattle at June 30 (no.),2014,0,,Western Australia,Sheep
Lambs at 30 June (no.),2014,872,17,Western Australia,Sheep
Sheep flock at 30 June (no.),2014,3465,10,Western Australia,Sheep
Beef bulls at 30 June (no.),2014,6,30,Western Australia,Sheep-Beef
Beef calves at 30 June (no.),2014,93,15,Western Australia,Sheep-Beef
Beef cows at 30 June (no.),2014,170,34,Western Australia,Sheep-Beef
Dairy cattle at June 30 (no.),2014,0,,Western Australia,Sheep-Beef
Lambs at 30 June (no.),2014,454,32,Western Australia,Sheep-Beef
Sheep flock at 30 June (no.),2014,1732,22,Western Australia,Sheep-Beef
Beef bulls at 30 June (no.),2015,4,11,New South Wales,All Broadacre
Beef calves at 30 June (no.),2015,67,10,New South Wales,All Broadacre
Beef cows at 30 June (no.),2015,116,8,New South Wales,All Broadacre
Dairy cattle at June 30 (no.),2015,0,129,New South Wales,All Broadacre
Lambs at 30 June (no.),2015,453,8,New South Wales,All Broadacre
Sheep flock at 30 June (no.),2015,1464,7,New South Wales,All Broadacre
Beef bulls at 30 June (no.),2015,8,11,New South Wales,Beef
Beef calves at 30 June (no.),2015,104,15,New South Wales,Beef
Beef cows at 30 June (no.),2015,201,8,New South Wales,Beef
Dairy cattle at June 30 (no.),2015,0,143,New South Wales,Beef
Lambs at 30 June (no.),2015,37,42,New South Wales,Beef
Sheep flock at 30 June (no.),2015,173,38,New South Wales,Beef
Beef bulls at 30 June (no.),2015,1,20,New South Wales,Cropping
Beef calves at 30 June (no.),2015,34,23,New South Wales,Cropping
Beef cows at 30 June (no.),2015,47,20,New South Wales,Cropping
Dairy cattle at June 30 (no.),2015,0,,New South Wales,Cropping
Lambs at 30 June (no.),2015,286,19,New South Wales,Cropping
Sheep flock at 30 June (no.),2015,808,18,New South Wales,Cropping
Dairy cattle at June 30 (no.),2015,455,5,New South Wales,Dairy
Dairy cows at 30 June (no.),2015,257,4,New South Wales,Dairy
Beef bulls at 30 June (no.),2015,1,18,New South Wales,Mixed
Beef calves at 30 June (no.),2015,36,22,New South Wales,Mixed
Beef cows at 30 June (no.),2015,49,19,New South Wales,Mixed
Dairy cattle at June 30 (no.),2015,0,,New South Wales,Mixed
Lambs at 30 June (no.),2015,757,13,New South Wales,Mixed
Sheep flock at 30 June (no.),2015,2144,11,New South Wales,Mixed
Beef bulls at 30 June (no.),2015,2,48,New South Wales,Sheep
Beef calves at 30 June (no.),2015,33,32,New South Wales,Sheep
Beef cows at 30 June (no.),2015,61,37,New South Wales,Sheep
Dairy cattle at June 30 (no.),2015,0,,New South Wales,Sheep
Lambs at 30 June (no.),2015,875,18,New South Wales,Sheep
Sheep flock at 30 June (no.),2015,3280,14,New South Wales,Sheep
Beef bulls at 30 June (no.),2015,5,15,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),2015,97,12,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),2015,155,11,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),2015,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),2015,713,16,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),2015,2466,10,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),2015,236,12,Northern Territory,All Broadacre
Beef calves at 30 June (no.),2015,1650,17,Northern Territory,All Broadacre
Beef cows at 30 June (no.),2015,5359,11,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),2015,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),2015,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),2015,0,,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),2015,236,12,Northern Territory,Beef
Beef calves at 30 June (no.),2015,1650,17,Northern Territory,Beef
Beef cows at 30 June (no.),2015,5359,11,Northern Territory,Beef
Dairy cattle at June 30 (no.),2015,0,,Northern Territory,Beef
Lambs at 30 June (no.),2015,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),2015,0,,Northern Territory,Beef
Beef bulls at 30 June (no.),2015,19,8,Queensland,All Broadacre
Beef calves at 30 June (no.),2015,231,6,Queensland,All Broadacre
Beef cows at 30 June (no.),2015,433,5,Queensland,All Broadacre
Dairy cattle at June 30 (no.),2015,0,,Queensland,All Broadacre
Lambs at 30 June (no.),2015,40,28,Queensland,All Broadacre
Sheep flock at 30 June (no.),2015,200,26,Queensland,All Broadacre
Beef bulls at 30 June (no.),2015,24,9,Queensland,Beef
Beef calves at 30 June (no.),2015,290,6,Queensland,Beef
Beef cows at 30 June (no.),2015,548,5,Queensland,Beef
Dairy cattle at June 30 (no.),2015,0,,Queensland,Beef
Lambs at 30 June (no.),2015,15,78,Queensland,Beef
Sheep flock at 30 June (no.),2015,86,61,Queensland,Beef
Beef bulls at 30 June (no.),2015,1,30,Queensland,Cropping
Beef calves at 30 June (no.),2015,26,30,Queensland,Cropping
Beef cows at 30 June (no.),2015,37,28,Queensland,Cropping
Dairy cattle at June 30 (no.),2015,0,,Queensland,Cropping
Lambs at 30 June (no.),2015,39,45,Queensland,Cropping
Sheep flock at 30 June (no.),2015,197,60,Queensland,Cropping
Dairy cattle at June 30 (no.),2015,286,4,Queensland,Dairy
Dairy cows at 30 June (no.),2015,170,6,Queensland,Dairy
Beef bulls at 30 June (no.),2015,7,61,Queensland,Mixed
Beef calves at 30 June (no.),2015,67,20,Queensland,Mixed
Beef cows at 30 June (no.),2015,119,16,Queensland,Mixed
Dairy cattle at June 30 (no.),2015,0,,Queensland,Mixed
Lambs at 30 June (no.),2015,29,9,Queensland,Mixed
Sheep flock at 30 June (no.),2015,107,34,Queensland,Mixed
Beef bulls at 30 June (no.),2015,2,46,Queensland,Sheep
Beef calves at 30 June (no.),2015,60,57,Queensland,Sheep
Beef cows at 30 June (no.),2015,92,49,Queensland,Sheep
Dairy cattle at June 30 (no.),2015,0,,Queensland,Sheep
Lambs at 30 June (no.),2015,938,20,Queensland,Sheep
Sheep flock at 30 June (no.),2015,5788,12,Queensland,Sheep
Beef bulls at 30 June (no.),2015,6,29,Queensland,Sheep-Beef
Beef calves at 30 June (no.),2015,122,24,Queensland,Sheep-Beef
Beef cows at 30 June (no.),2015,210,23,Queensland,Sheep-Beef
Dairy cattle at June 30 (no.),2015,0,,Queensland,Sheep-Beef
Lambs at 30 June (no.),2015,634,41,Queensland,Sheep-Beef
Sheep flock at 30 June (no.),2015,2414,32,Queensland,Sheep-Beef
Beef bulls at 30 June (no.),2015,3,20,South Australia,All Broadacre
Beef calves at 30 June (no.),2015,42,18,South Australia,All Broadacre
Beef cows at 30 June (no.),2015,61,22,South Australia,All Broadacre
Dairy cattle at June 30 (no.),2015,0,,South Australia,All Broadacre
Lambs at 30 June (no.),2015,614,9,South Australia,All Broadacre
Sheep flock at 30 June (no.),2015,1677,9,South Australia,All Broadacre
Beef bulls at 30 June (no.),2015,17,12,South Australia,Beef
Beef calves at 30 June (no.),2015,216,13,South Australia,Beef
Beef cows at 30 June (no.),2015,372,13,South Australia,Beef
Dairy cattle at June 30 (no.),2015,0,,South Australia,Beef
Lambs at 30 June (no.),2015,67,67,South Australia,Beef
Sheep flock at 30 June (no.),2015,158,76,South Australia,Beef
Beef bulls at 30 June (no.),2015,0,93,South Australia,Cropping
Beef calves at 30 June (no.),2015,1,97,South Australia,Cropping
Beef cows at 30 June (no.),2015,2,95,South Australia,Cropping
Dairy cattle at June 30 (no.),2015,0,,South Australia,Cropping
Lambs at 30 June (no.),2015,185,30,South Australia,Cropping
Sheep flock at 30 June (no.),2015,531,28,South Australia,Cropping
Dairy cattle at June 30 (no.),2015,448,12,South Australia,Dairy
Dairy cows at 30 June (no.),2015,264,12,South Australia,Dairy
Beef bulls at 30 June (no.),2015,2,77,South Australia,Mixed
Beef calves at 30 June (no.),2015,7,46,South Australia,Mixed
Beef cows at 30 June (no.),2015,10,44,South Australia,Mixed
Dairy cattle at June 30 (no.),2015,0,,South Australia,Mixed
Lambs at 30 June (no.),2015,905,10,South Australia,Mixed
Sheep flock at 30 June (no.),2015,2349,10,South Australia,Mixed
Beef bulls at 30 June (no.),2015,1,69,South Australia,Sheep
Beef calves at 30 June (no.),2015,13,68,South Australia,Sheep
Beef cows at 30 June (no.),2015,20,52,South Australia,Sheep
Dairy cattle at June 30 (no.),2015,0,,South Australia,Sheep
Lambs at 30 June (no.),2015,1020,15,South Australia,Sheep
Sheep flock at 30 June (no.),2015,3373,12,South Australia,Sheep
Beef bulls at 30 June (no.),2015,10,19,South Australia,Sheep-Beef
Beef calves at 30 June (no.),2015,186,21,South Australia,Sheep-Beef
Beef cows at 30 June (no.),2015,208,17,South Australia,Sheep-Beef
Dairy cattle at June 30 (no.),2015,0,,South Australia,Sheep-Beef
Lambs at 30 June (no.),2015,1811,12,South Australia,Sheep-Beef
Sheep flock at 30 June (no.),2015,3957,11,South Australia,Sheep-Beef
Beef bulls at 30 June (no.),2015,8,13,Tasmania,All Broadacre
Beef calves at 30 June (no.),2015,102,17,Tasmania,All Broadacre
Beef cows at 30 June (no.),2015,149,10,Tasmania,All Broadacre
Dairy cattle at June 30 (no.),2015,0,,Tasmania,All Broadacre
Lambs at 30 June (no.),2015,562,16,Tasmania,All Broadacre
Sheep flock at 30 June (no.),2015,2048,14,Tasmania,All Broadacre
Beef bulls at 30 June (no.),2015,9,20,Tasmania,Beef
Beef calves at 30 June (no.),2015,145,15,Tasmania,Beef
Beef cows at 30 June (no.),2015,172,13,Tasmania,Beef
Dairy cattle at June 30 (no.),2015,0,,Tasmania,Beef
Lambs at 30 June (no.),2015,7,41,Tasmania,Beef
Sheep flock at 30 June (no.),2015,51,65,Tasmania,Beef
Dairy cattle at June 30 (no.),2015,600,7,Tasmania,Dairy
Dairy cows at 30 June (no.),2015,358,7,Tasmania,Dairy
Beef bulls at 30 June (no.),2015,0,155,Tasmania,Mixed
Beef calves at 30 June (no.),2015,2,168,Tasmania,Mixed
Beef cows at 30 June (no.),2015,9,138,Tasmania,Mixed
Dairy cattle at June 30 (no.),2015,0,,Tasmania,Mixed
Lambs at 30 June (no.),2015,675,70,Tasmania,Mixed
Sheep flock at 30 June (no.),2015,2815,62,Tasmania,Mixed
Beef bulls at 30 June (no.),2015,9,29,Tasmania,Sheep
Beef calves at 30 June (no.),2015,52,30,Tasmania,Sheep
Beef cows at 30 June (no.),2015,132,22,Tasmania,Sheep
Dairy cattle at June 30 (no.),2015,0,,Tasmania,Sheep
Lambs at 30 June (no.),2015,2185,9,Tasmania,Sheep
Sheep flock at 30 June (no.),2015,8070,7,Tasmania,Sheep
Beef bulls at 30 June (no.),2015,8,18,Tasmania,Sheep-Beef
Beef calves at 30 June (no.),2015,74,18,Tasmania,Sheep-Beef
Beef cows at 30 June (no.),2015,154,11,Tasmania,Sheep-Beef
Dairy cattle at June 30 (no.),2015,0,,Tasmania,Sheep-Beef
Lambs at 30 June (no.),2015,726,33,Tasmania,Sheep-Beef
Sheep flock at 30 June (no.),2015,2444,29,Tasmania,Sheep-Beef
Beef bulls at 30 June (no.),2015,3,12,Victoria,All Broadacre
Beef calves at 30 June (no.),2015,49,11,Victoria,All Broadacre
Beef cows at 30 June (no.),2015,64,9,Victoria,All Broadacre
Dairy cattle at June 30 (no.),2015,0,,Victoria,All Broadacre
Lambs at 30 June (no.),2015,339,8,Victoria,All Broadacre
Sheep flock at 30 June (no.),2015,1102,7,Victoria,All Broadacre
Beef bulls at 30 June (no.),2015,6,23,Victoria,Beef
Beef calves at 30 June (no.),2015,95,10,Victoria,Beef
Beef cows at 30 June (no.),2015,127,10,Victoria,Beef
Dairy cattle at June 30 (no.),2015,0,,Victoria,Beef
Lambs at 30 June (no.),2015,14,108,Victoria,Beef
Sheep flock at 30 June (no.),2015,39,114,Victoria,Beef
Beef bulls at 30 June (no.),2015,0,282,Victoria,Cropping
Beef calves at 30 June (no.),2015,2,77,Victoria,Cropping
Beef cows at 30 June (no.),2015,3,59,Victoria,Cropping
Dairy cattle at June 30 (no.),2015,0,,Victoria,Cropping
Lambs at 30 June (no.),2015,211,22,Victoria,Cropping
Sheep flock at 30 June (no.),2015,485,18,Victoria,Cropping
Dairy cattle at June 30 (no.),2015,382,6,Victoria,Dairy
Dairy cows at 30 June (no.),2015,244,6,Victoria,Dairy
Beef bulls at 30 June (no.),2015,0,59,Victoria,Mixed
Beef calves at 30 June (no.),2015,5,58,Victoria,Mixed
Beef cows at 30 June (no.),2015,9,41,Victoria,Mixed
Dairy cattle at June 30 (no.),2015,0,,Victoria,Mixed
Lambs at 30 June (no.),2015,516,9,Victoria,Mixed
Sheep flock at 30 June (no.),2015,1764,8,Victoria,Mixed
Beef bulls at 30 June (no.),2015,1,43,Victoria,Sheep
Beef calves at 30 June (no.),2015,12,34,Victoria,Sheep
Beef cows at 30 June (no.),2015,15,35,Victoria,Sheep
Dairy cattle at June 30 (no.),2015,0,,Victoria,Sheep
Lambs at 30 June (no.),2015,831,12,Victoria,Sheep
Sheep flock at 30 June (no.),2015,2729,10,Victoria,Sheep
Beef bulls at 30 June (no.),2015,7,20,Victoria,Sheep-Beef
Beef calves at 30 June (no.),2015,115,21,Victoria,Sheep-Beef
Beef cows at 30 June (no.),2015,147,14,Victoria,Sheep-Beef
Dairy cattle at June 30 (no.),2015,0,,Victoria,Sheep-Beef
Lambs at 30 June (no.),2015,501,27,Victoria,Sheep-Beef
Sheep flock at 30 June (no.),2015,1666,26,Victoria,Sheep-Beef
Beef bulls at 30 June (no.),2015,6,23,Western Australia,All Broadacre
Beef calves at 30 June (no.),2015,86,16,Western Australia,All Broadacre
Beef cows at 30 June (no.),2015,163,19,Western Australia,All Broadacre
Dairy cattle at June 30 (no.),2015,0,,Western Australia,All Broadacre
Lambs at 30 June (no.),2015,590,11,Western Australia,All Broadacre
Sheep flock at 30 June (no.),2015,2199,9,Western Australia,All Broadacre
Beef bulls at 30 June (no.),2015,31,23,Western Australia,Beef
Beef calves at 30 June (no.),2015,414,16,Western Australia,Beef
Beef cows at 30 June (no.),2015,806,20,Western Australia,Beef
Dairy cattle at June 30 (no.),2015,0,,Western Australia,Beef
Lambs at 30 June (no.),2015,7,71,Western Australia,Beef
Sheep flock at 30 June (no.),2015,20,72,Western Australia,Beef
Beef bulls at 30 June (no.),2015,0,56,Western Australia,Cropping
Beef calves at 30 June (no.),2015,5,58,Western Australia,Cropping
Beef cows at 30 June (no.),2015,9,56,Western Australia,Cropping
Dairy cattle at June 30 (no.),2015,0,,Western Australia,Cropping
Lambs at 30 June (no.),2015,528,16,Western Australia,Cropping
Sheep flock at 30 June (no.),2015,1772,16,Western Australia,Cropping
Dairy cattle at June 30 (no.),2015,680,7,Western Australia,Dairy
Dairy cows at 30 June (no.),2015,336,6,Western Australia,Dairy
Beef bulls at 30 June (no.),2015,0,80,Western Australia,Mixed
Beef calves at 30 June (no.),2015,3,81,Western Australia,Mixed
Beef cows at 30 June (no.),2015,6,82,Western Australia,Mixed
Dairy cattle at June 30 (no.),2015,0,,Western Australia,Mixed
Lambs at 30 June (no.),2015,807,19,Western Australia,Mixed
Sheep flock at 30 June (no.),2015,3066,16,Western Australia,Mixed
Beef bulls at 30 June (no.),2015,0,62,Western Australia,Sheep
Beef calves at 30 June (no.),2015,7,64,Western Australia,Sheep
Beef cows at 30 June (no.),2015,9,62,Western Australia,Sheep
Dairy cattle at June 30 (no.),2015,0,,Western Australia,Sheep
Lambs at 30 June (no.),2015,1007,24,Western Australia,Sheep
Sheep flock at 30 June (no.),2015,4380,13,Western Australia,Sheep
Beef bulls at 30 June (no.),2015,6,28,Western Australia,Sheep-Beef
Beef calves at 30 June (no.),2015,102,29,Western Australia,Sheep-Beef
Beef cows at 30 June (no.),2015,126,19,Western Australia,Sheep-Beef
Dairy cattle at June 30 (no.),2015,0,,Western Australia,Sheep-Beef
Lambs at 30 June (no.),2015,764,43,Western Australia,Sheep-Beef
Sheep flock at 30 June (no.),2015,2074,34,Western Australia,Sheep-Beef
Beef bulls at 30 June (no.),2016,5,10,New South Wales,All Broadacre
Beef calves at 30 June (no.),2016,78,9,New South Wales,All Broadacre
Beef cows at 30 June (no.),2016,120,7,New South Wales,All Broadacre
Dairy cattle at June 30 (no.),2016,0,,New South Wales,All Broadacre
Lambs at 30 June (no.),2016,489,7,New South Wales,All Broadacre
Sheep flock at 30 June (no.),2016,1568,6,New South Wales,All Broadacre
Beef bulls at 30 June (no.),2016,10,16,New South Wales,Beef
Beef calves at 30 June (no.),2016,137,13,New South Wales,Beef
Beef cows at 30 June (no.),2016,219,9,New South Wales,Beef
Dairy cattle at June 30 (no.),2016,0,,New South Wales,Beef
Lambs at 30 June (no.),2016,29,39,New South Wales,Beef
Sheep flock at 30 June (no.),2016,140,37,New South Wales,Beef
Beef bulls at 30 June (no.),2016,1,35,New South Wales,Cropping
Beef calves at 30 June (no.),2016,16,34,New South Wales,Cropping
Beef cows at 30 June (no.),2016,28,27,New South Wales,Cropping
Dairy cattle at June 30 (no.),2016,0,,New South Wales,Cropping
Lambs at 30 June (no.),2016,207,32,New South Wales,Cropping
Sheep flock at 30 June (no.),2016,441,30,New South Wales,Cropping
Dairy cattle at June 30 (no.),2016,473,5,New South Wales,Dairy
Dairy cows at 30 June (no.),2016,271,4,New South Wales,Dairy
Beef bulls at 30 June (no.),2016,2,16,New South Wales,Mixed
Beef calves at 30 June (no.),2016,53,15,New South Wales,Mixed
Beef cows at 30 June (no.),2016,71,14,New South Wales,Mixed
Dairy cattle at June 30 (no.),2016,0,,New South Wales,Mixed
Lambs at 30 June (no.),2016,815,9,New South Wales,Mixed
Sheep flock at 30 June (no.),2016,2514,8,New South Wales,Mixed
Beef bulls at 30 June (no.),2016,1,21,New South Wales,Sheep
Beef calves at 30 June (no.),2016,10,52,New South Wales,Sheep
Beef cows at 30 June (no.),2016,21,26,New South Wales,Sheep
Dairy cattle at June 30 (no.),2016,0,,New South Wales,Sheep
Lambs at 30 June (no.),2016,981,11,New South Wales,Sheep
Sheep flock at 30 June (no.),2016,3185,11,New South Wales,Sheep
Beef bulls at 30 June (no.),2016,5,15,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),2016,103,15,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),2016,149,11,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),2016,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),2016,696,13,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),2016,2358,9,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),2016,256,8,Northern Territory,All Broadacre
Beef calves at 30 June (no.),2016,2120,15,Northern Territory,All Broadacre
Beef cows at 30 June (no.),2016,6055,9,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),2016,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),2016,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),2016,0,,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),2016,264,8,Northern Territory,Beef
Beef calves at 30 June (no.),2016,2163,16,Northern Territory,Beef
Beef cows at 30 June (no.),2016,6236,9,Northern Territory,Beef
Dairy cattle at June 30 (no.),2016,0,,Northern Territory,Beef
Lambs at 30 June (no.),2016,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),2016,0,,Northern Territory,Beef
Beef bulls at 30 June (no.),2016,18,6,Queensland,All Broadacre
Beef calves at 30 June (no.),2016,238,6,Queensland,All Broadacre
Beef cows at 30 June (no.),2016,451,5,Queensland,All Broadacre
Dairy cattle at June 30 (no.),2016,0,,Queensland,All Broadacre
Lambs at 30 June (no.),2016,37,30,Queensland,All Broadacre
Sheep flock at 30 June (no.),2016,197,24,Queensland,All Broadacre
Beef bulls at 30 June (no.),2016,22,8,Queensland,Beef
Beef calves at 30 June (no.),2016,281,6,Queensland,Beef
Beef cows at 30 June (no.),2016,538,6,Queensland,Beef
Dairy cattle at June 30 (no.),2016,0,,Queensland,Beef
Lambs at 30 June (no.),2016,2,45,Queensland,Beef
Sheep flock at 30 June (no.),2016,9,53,Queensland,Beef
Beef bulls at 30 June (no.),2016,1,33,Queensland,Cropping
Beef calves at 30 June (no.),2016,23,33,Queensland,Cropping
Beef cows at 30 June (no.),2016,30,34,Queensland,Cropping
Dairy cattle at June 30 (no.),2016,0,,Queensland,Cropping
Lambs at 30 June (no.),2016,61,53,Queensland,Cropping
Sheep flock at 30 June (no.),2016,208,55,Queensland,Cropping
Dairy cattle at June 30 (no.),2016,295,5,Queensland,Dairy
Dairy cows at 30 June (no.),2016,166,4,Queensland,Dairy
Beef bulls at 30 June (no.),2016,8,29,Queensland,Mixed
Beef calves at 30 June (no.),2016,126,16,Queensland,Mixed
Beef cows at 30 June (no.),2016,184,13,Queensland,Mixed
Dairy cattle at June 30 (no.),2016,0,,Queensland,Mixed
Lambs at 30 June (no.),2016,126,65,Queensland,Mixed
Sheep flock at 30 June (no.),2016,532,58,Queensland,Mixed
Beef bulls at 30 June (no.),2016,1,31,Queensland,Sheep
Beef calves at 30 June (no.),2016,18,93,Queensland,Sheep
Beef cows at 30 June (no.),2016,40,29,Queensland,Sheep
Dairy cattle at June 30 (no.),2016,0,,Queensland,Sheep
Lambs at 30 June (no.),2016,284,53,Queensland,Sheep
